iter	Passed	Remaining
0	164	164799
1	181	90811
2	192	63842
3	201	50276
4	209	41695
5	217	36112
6	224	31876
7	233	28999
8	240	26510
9	250	24817
10	257	23189
11	267	22013
12	274	20821
13	283	20001
14	292	19195
15	301	18543
16	309	17915
17	319	17407
18	328	16978
19	337	16516
20	349	16276
21	359	15967
22	368	15633
23	379	15414
24	388	15168
25	399	14962
26	411	14818
27	421	14626
28	430	14408
29	438	14177
30	449	14052
31	459	13886
32	468	13737
33	479	13629
34	487	13447
35	499	13366
36	509	13268
37	518	13121
38	529	13053
39	537	12890
40	546	12786
41	554	12644
42	562	12527
43	570	12401
44	580	12315
45	589	12233
46	597	12124
47	609	12079
48	618	12006
49	630	11974
50	639	11905
51	648	11830
52	659	11786
53	667	11696
54	678	11666
55	687	11597
56	696	11521
57	706	11478
58	715	11408
59	726	11382
60	734	11308
61	745	11277
62	755	11236
63	763	11159
64	787	11327
65	795	11256
66	805	11215
67	814	11157
68	825	11136
69	833	11073
70	841	11010
71	850	10966
72	859	10915
73	868	10867
74	877	10824
75	887	10786
76	895	10735
77	904	10688
78	912	10633
79	922	10606
80	931	10570
81	938	10510
82	946	10453
83	956	10426
84	963	10374
85	972	10337
86	980	10293
87	990	10262
88	1000	10236
89	1007	10191
90	1016	10155
91	1024	10114
92	1035	10095
93	1043	10061
94	1056	10064
95	1067	10050
96	1077	10033
97	1087	10008
98	1097	9985
99	1105	9952
100	1115	9929
101	1124	9899
102	1135	9886
103	1149	9903
104	1158	9871
105	1168	9858
106	1177	9825
107	1185	9795
108	1195	9775
109	1204	9748
110	1214	9725
111	1222	9695
112	1233	9684
113	1242	9655
114	1252	9640
115	1264	9637
116	1273	9611
117	1283	9596
118	1293	9577
119	1301	9546
120	1311	9527
121	1320	9503
122	1329	9480
123	1337	9451
124	1348	9440
125	1359	9431
126	1368	9407
127	1378	9393
128	1391	9396
129	1402	9385
130	1412	9370
131	1421	9347
132	1430	9326
133	1440	9312
134	1450	9292
135	1460	9281
136	1469	9256
137	1480	9244
138	1491	9240
139	1502	9228
140	1512	9217
141	1525	9215
142	1534	9198
143	1549	9208
144	1561	9204
145	1573	9205
146	1586	9203
147	1597	9198
148	1608	9187
149	1623	9198
150	1633	9186
151	1645	9182
152	1657	9174
153	1666	9155
154	1679	9154
155	1691	9153
156	1703	9146
157	1714	9134
158	1728	9141
159	1740	9139
160	1753	9139
161	1764	9128
162	1778	9133
163	1790	9129
164	1803	9127
165	1812	9106
166	1825	9104
167	1836	9097
168	1846	9077
169	1855	9061
170	1864	9039
171	1875	9028
172	1886	9020
173	1895	8998
174	1906	8986
175	1916	8970
176	1924	8950
177	1935	8938
178	1943	8913
179	1953	8901
180	1962	8879
181	1971	8859
182	1979	8838
183	1988	8817
184	1998	8802
185	2005	8774
186	2014	8757
187	2022	8733
188	2030	8712
189	2038	8689
190	2049	8681
191	2057	8656
192	2065	8635
193	2072	8611
194	2081	8591
195	2088	8566
196	2096	8543
197	2103	8520
198	2111	8498
199	2120	8482
200	2128	8461
201	2138	8447
202	2147	8432
203	2155	8412
204	2164	8394
205	2171	8371
206	2181	8358
207	2189	8337
208	2198	8319
209	2205	8298
210	2215	8284
211	2223	8265
212	2232	8248
213	2241	8232
214	2250	8215
215	2263	8215
216	2270	8194
217	2280	8182
218	2289	8166
219	2298	8150
220	2307	8132
221	2316	8116
222	2324	8099
223	2332	8081
224	2342	8067
225	2351	8054
226	2362	8045
227	2371	8028
228	2383	8023
229	2394	8015
230	2402	7998
231	2419	8009
232	2434	8012
233	2447	8011
234	2460	8010
235	2474	8012
236	2485	8000
237	2496	7992
238	2509	7990
239	2521	7984
240	2532	7976
241	2544	7971
242	2555	7962
243	2564	7944
244	2575	7936
245	2583	7917
246	2594	7909
247	2606	7903
248	2614	7885
249	2625	7877
250	2635	7864
251	2645	7851
252	2656	7843
253	2664	7826
254	2676	7818
255	2687	7810
256	2695	7793
257	2708	7788
258	2721	7785
259	2730	7770
260	2741	7761
261	2752	7752
262	2762	7741
263	2773	7731
264	2784	7724
265	2793	7708
266	2803	7696
267	2812	7681
268	2823	7673
269	2833	7661
270	2844	7652
271	2857	7648
272	2869	7641
273	2878	7625
274	2889	7616
275	2899	7605
276	2907	7588
277	2918	7580
278	2927	7564
279	2941	7563
280	2952	7555
281	2963	7545
282	2974	7535
283	2984	7525
284	2995	7514
285	3004	7500
286	3015	7491
287	3025	7479
288	3038	7475
289	3050	7467
290	3060	7456
291	3068	7439
292	3079	7430
293	3087	7414
294	3098	7404
295	3108	7393
296	3116	7377
297	3129	7371
298	3139	7361
299	3148	7346
300	3160	7339
301	3172	7332
302	3181	7318
303	3192	7308
304	3200	7293
305	3217	7297
306	3231	7293
307	3241	7283
308	3251	7270
309	3262	7260
310	3271	7248
311	3280	7234
312	3291	7223
313	3299	7207
314	3310	7198
315	3319	7184
316	3327	7169
317	3339	7161
318	3357	7167
319	3371	7164
320	3388	7167
321	3399	7158
322	3408	7144
323	3416	7129
324	3425	7114
325	3433	7099
326	3442	7086
327	3451	7072
328	3460	7058
329	3470	7046
330	3478	7030
331	3488	7019
332	3497	7005
333	3508	6996
334	3519	6986
335	3527	6971
336	3536	6958
337	3544	6942
338	3553	6928
339	3562	6915
340	3573	6905
341	3582	6891
342	3590	6878
343	3600	6866
344	3609	6853
345	3618	6839
346	3627	6827
347	3637	6814
348	3647	6802
349	3655	6789
350	3664	6775
351	3672	6761
352	3681	6748
353	3690	6734
354	3700	6723
355	3708	6709
356	3718	6697
357	3727	6684
358	3738	6675
359	3749	6666
360	3757	6651
361	3768	6641
362	3778	6630
363	3787	6617
364	3797	6605
365	3804	6590
366	3812	6576
367	3819	6560
368	3830	6549
369	3837	6534
370	3847	6522
371	3854	6507
372	3862	6493
373	3870	6477
374	3878	6464
375	3885	6448
376	3893	6434
377	3901	6419
378	3909	6405
379	3917	6391
380	3925	6377
381	3934	6365
382	3947	6359
383	3958	6349
384	3967	6338
385	3978	6329
386	3986	6315
387	3996	6304
388	4005	6291
389	4014	6278
390	4025	6270
391	4033	6256
392	4044	6246
393	4054	6236
394	4063	6223
395	4071	6210
396	4080	6197
397	4089	6185
398	4097	6172
399	4105	6158
400	4116	6148
401	4124	6135
402	4132	6121
403	4140	6108
404	4147	6093
405	4155	6080
406	4163	6065
407	4171	6052
408	4179	6039
409	4187	6025
410	4194	6011
411	4202	5997
412	4210	5984
413	4221	5975
414	4229	5962
415	4240	5952
416	4248	5940
417	4257	5927
418	4265	5914
419	4274	5902
420	4282	5890
421	4292	5878
422	4301	5867
423	4309	5855
424	4318	5842
425	4328	5832
426	4337	5820
427	4346	5809
428	4355	5797
429	4364	5785
430	4375	5775
431	4383	5763
432	4395	5755
433	4404	5744
434	4412	5730
435	4421	5719
436	4429	5706
437	4439	5696
438	4448	5684
439	4456	5672
440	4466	5661
441	4475	5649
442	4484	5638
443	4493	5627
444	4503	5617
445	4512	5605
446	4521	5593
447	4529	5581
448	4538	5569
449	4546	5556
450	4555	5545
451	4563	5532
452	4572	5521
453	4581	5510
454	4591	5499
455	4601	5489
456	4610	5477
457	4619	5467
458	4628	5455
459	4637	5444
460	4647	5433
461	4655	5421
462	4664	5410
463	4672	5398
464	4683	5388
465	4691	5376
466	4700	5364
467	4709	5353
468	4718	5342
469	4727	5330
470	4735	5318
471	4745	5308
472	4753	5296
473	4762	5285
474	4772	5275
475	4781	5263
476	4790	5252
477	4799	5241
478	4808	5230
479	4818	5220
480	4826	5208
481	4835	5196
482	4844	5185
483	4853	5174
484	4864	5165
485	4873	5154
486	4881	5142
487	4890	5130
488	4898	5119
489	4908	5108
490	4917	5097
491	4926	5086
492	4934	5074
493	4946	5066
494	4954	5055
495	4963	5043
496	4971	5031
497	4980	5020
498	4989	5009
499	4997	4997
500	5006	4986
501	5019	4979
502	5027	4968
503	5037	4957
504	5045	4945
505	5054	4934
506	5062	4922
507	5070	4911
508	5079	4900
509	5088	4888
510	5097	4878
511	5106	4867
512	5115	4856
513	5125	4845
514	5133	4834
515	5142	4823
516	5151	4812
517	5159	4800
518	5169	4791
519	5178	4780
520	5187	4769
521	5195	4757
522	5204	4746
523	5215	4738
524	5224	4727
525	5235	4718
526	5244	4706
527	5254	4697
528	5262	4685
529	5271	4675
530	5279	4663
531	5288	4652
532	5298	4642
533	5306	4630
534	5314	4619
535	5324	4609
536	5332	4597
537	5341	4586
538	5348	4574
539	5358	4564
540	5369	4555
541	5377	4543
542	5387	4534
543	5397	4524
544	5406	4513
545	5414	4502
546	5422	4491
547	5433	4481
548	5441	4470
549	5451	4460
550	5459	4448
551	5470	4439
552	5479	4429
553	5487	4418
554	5498	4408
555	5506	4397
556	5515	4386
557	5522	4374
558	5531	4364
559	5540	4353
560	5549	4342
561	5557	4331
562	5567	4321
563	5576	4311
564	5586	4300
565	5594	4289
566	5603	4278
567	5611	4267
568	5623	4259
569	5634	4250
570	5645	4241
571	5653	4230
572	5663	4220
573	5671	4209
574	5681	4199
575	5690	4188
576	5699	4178
577	5707	4167
578	5715	4156
579	5723	4144
580	5732	4133
581	5739	4121
582	5747	4110
583	5754	4099
584	5761	4087
585	5769	4075
586	5776	4064
587	5783	4052
588	5791	4041
589	5799	4030
590	5805	4017
591	5813	4006
592	5820	3994
593	5828	3984
594	5836	3972
595	5843	3961
596	5850	3949
597	5857	3937
598	5865	3926
599	5872	3914
600	5879	3903
601	5886	3891
602	5894	3880
603	5901	3869
604	5908	3857
605	5916	3846
606	5923	3835
607	5929	3823
608	5939	3813
609	5947	3802
610	5955	3791
611	5962	3779
612	5969	3768
613	5976	3756
614	5984	3746
615	5994	3736
616	6002	3726
617	6010	3715
618	6018	3704
619	6026	3693
620	6033	3682
621	6041	3671
622	6049	3660
623	6057	3649
624	6066	3640
625	6076	3630
626	6087	3621
627	6096	3611
628	6107	3602
629	6114	3591
630	6124	3581
631	6132	3570
632	6141	3560
633	6151	3550
634	6160	3541
635	6169	3531
636	6180	3521
637	6190	3512
638	6201	3503
639	6210	3493
640	6220	3483
641	6229	3473
642	6238	3463
643	6247	3453
644	6258	3444
645	6267	3434
646	6275	3424
647	6284	3413
648	6295	3404
649	6305	3395
650	6313	3384
651	6324	3375
652	6334	3366
653	6342	3355
654	6355	3347
655	6364	3337
656	6372	3327
657	6382	3317
658	6390	3306
659	6400	3297
660	6409	3286
661	6418	3277
662	6427	3266
663	6436	3257
664	6446	3247
665	6455	3237
666	6465	3228
667	6474	3217
668	6484	3208
669	6492	3197
670	6502	3188
671	6523	3184
672	6532	3173
673	6541	3163
674	6551	3154
675	6561	3144
676	6579	3139
677	6589	3129
678	6599	3120
679	6611	3111
680	6620	3101
681	6632	3092
682	6645	3084
683	6657	3075
684	6667	3066
685	6678	3056
686	6689	3047
687	6702	3039
688	6713	3030
689	6723	3020
690	6733	3010
691	6745	3002
692	6756	2993
693	6766	2983
694	6776	2973
695	6787	2964
696	6800	2956
697	6812	2947
698	6823	2938
699	6834	2929
700	6845	2919
701	6856	2910
702	6866	2901
703	6878	2892
704	6888	2882
705	6900	2873
706	6914	2865
707	6926	2856
708	6937	2847
709	6946	2837
710	6955	2827
711	6965	2817
712	6978	2808
713	6986	2798
714	6995	2788
715	7004	2778
716	7013	2768
717	7021	2757
718	7031	2747
719	7040	2737
720	7051	2728
721	7059	2718
722	7072	2709
723	7081	2699
724	7088	2688
725	7097	2678
726	7104	2668
727	7113	2657
728	7122	2647
729	7131	2637
730	7142	2628
731	7150	2617
732	7159	2607
733	7170	2598
734	7178	2588
735	7189	2579
736	7197	2568
737	7206	2558
738	7214	2548
739	7223	2538
740	7231	2527
741	7238	2516
742	7247	2506
743	7256	2496
744	7263	2486
745	7272	2476
746	7282	2466
747	7292	2456
748	7300	2446
749	7309	2436
750	7317	2426
751	7329	2417
752	7345	2409
753	7357	2400
754	7365	2390
755	7376	2380
756	7383	2370
757	7395	2361
758	7404	2351
759	7412	2340
760	7421	2330
761	7429	2320
762	7438	2310
763	7448	2300
764	7457	2290
765	7465	2280
766	7474	2270
767	7482	2260
768	7491	2250
769	7502	2240
770	7512	2231
771	7522	2221
772	7530	2211
773	7540	2201
774	7548	2191
775	7559	2182
776	7571	2173
777	7580	2163
778	7591	2153
779	7603	2144
780	7611	2134
781	7623	2125
782	7632	2115
783	7642	2105
784	7653	2096
785	7662	2086
786	7671	2076
787	7680	2066
788	7688	2056
789	7698	2046
790	7705	2035
791	7712	2025
792	7719	2015
793	7726	2004
794	7733	1994
795	7741	1983
796	7749	1973
797	7755	1963
798	7763	1953
799	7771	1942
800	7778	1932
801	7786	1922
802	7793	1911
803	7801	1901
804	7808	1891
805	7817	1881
806	7824	1871
807	7831	1861
808	7838	1850
809	7846	1840
810	7853	1830
811	7861	1820
812	7868	1809
813	7876	1799
814	7883	1789
815	7890	1779
816	7898	1769
817	7905	1758
818	7912	1748
819	7919	1738
820	7926	1728
821	7934	1718
822	7942	1708
823	7949	1697
824	7957	1688
825	7967	1678
826	7976	1668
827	7984	1658
828	7991	1648
829	7998	1638
830	8006	1628
831	8013	1618
832	8021	1608
833	8030	1598
834	8040	1588
835	8049	1579
836	8057	1569
837	8065	1559
838	8073	1549
839	8081	1539
840	8089	1529
841	8098	1519
842	8106	1509
843	8115	1499
844	8123	1490
845	8132	1480
846	8140	1470
847	8148	1460
848	8156	1450
849	8167	1441
850	8175	1431
851	8185	1421
852	8194	1412
853	8204	1402
854	8214	1393
855	8224	1383
856	8235	1374
857	8247	1364
858	8258	1355
859	8270	1346
860	8279	1336
861	8289	1327
862	8301	1317
863	8316	1309
864	8329	1299
865	8339	1290
866	8349	1280
867	8358	1271
868	8368	1261
869	8380	1252
870	8390	1242
871	8400	1233
872	8410	1223
873	8420	1213
874	8428	1204
875	8441	1194
876	8450	1185
877	8460	1175
878	8470	1165
879	8479	1156
880	8489	1146
881	8498	1136
882	8508	1127
883	8516	1117
884	8528	1108
885	8537	1098
886	8546	1088
887	8555	1079
888	8563	1069
889	8572	1059
890	8580	1049
891	8589	1040
892	8597	1030
893	8606	1020
894	8614	1010
895	8622	1000
896	8630	991
897	8640	981
898	8648	971
899	8657	961
900	8666	952
901	8674	942
902	8685	933
903	8694	923
904	8702	913
905	8710	903
906	8719	894
907	8729	884
908	8738	874
909	8748	865
910	8757	855
911	8765	845
912	8774	836
913	8782	826
914	8791	816
915	8799	806
916	8808	797
917	8816	787
918	8825	777
919	8832	768
920	8841	758
921	8849	748
922	8858	739
923	8868	729
924	8876	719
925	8885	710
926	8893	700
927	8901	690
928	8910	680
929	8918	671
930	8927	661
931	8936	652
932	8945	642
933	8953	632
934	8964	623
935	8973	613
936	8981	603
937	8989	594
938	8997	584
939	9006	574
940	9015	565
941	9024	555
942	9032	545
943	9043	536
944	9054	526
945	9061	517
946	9070	507
947	9078	497
948	9087	488
949	9094	478
950	9102	469
951	9111	459
952	9119	449
953	9128	440
954	9137	430
955	9145	420
956	9153	411
957	9162	401
958	9170	392
959	9180	382
960	9188	372
961	9216	364
962	9237	354
963	9252	345
964	9265	336
965	9277	326
966	9286	316
967	9295	307
968	9310	297
969	9322	288
970	9334	278
971	9344	269
972	9353	259
973	9365	249
974	9375	240
975	9383	230
976	9390	221
977	9398	211
978	9406	201
979	9414	192
980	9424	182
981	9432	172
982	9444	163
983	9453	153
984	9460	144
985	9469	134
986	9477	124
987	9486	115
988	9493	105
989	9502	95
990	9511	86
991	9520	76
992	9530	67
993	9538	57
994	9551	47
995	9559	38
996	9568	28
997	9577	19
998	9586	9
999	9597	0
